drive_file_id,filename,pagename,theme,admin_level,page_size,page_num,admin0,admin1,admin2,admin3,admin4,title,description,date,bbox_west,bbox_south,bbox_east,bbox_north,keywords,license,source_attribution
1W3MZEwLWx7-PUe0DMiGVjROlFpGI_Nbm,a0_reference-minimal-zonesante_COD_TSHOPO_KISANGANI_MANGOBO_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_TSHOPO_KISANGANI_MANGOBO_1-1_20260107,reference-minimal,3,a0,1-1,COD,Tshopo,Kisangani,Mangobo,,"Reference Minimal Zonesante — Mangobo, Kisangani, Tshopo, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"cod,kisangani,mangobo,reference minimal zonesante,reference-minimal,tshopo",CC-BY-4.0,CIESIN Columbia University
17fvVK9qq1AM_Mr_jiMmZVSxokrsQDGHU,a0_reference-minimal-zonesante_COD_TSHOPO_KISANGANI_MAKISO-KISANGANI_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_TSHOPO_KISANGANI_MAKISO-KISANGANI_1-1_20260107,reference-minimal,3,a0,1-1,COD,Tshopo,Kisangani,Makiso-Kisangani,,"Reference Minimal Zonesante — Makiso-Kisangani, Kisangani, Tshopo, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"cod,kisangani,makiso-kisangani,reference minimal zonesante,reference-minimal,tshopo",CC-BY-4.0,CIESIN Columbia University
1TQPojaBZ5KYKIDOg4oQgmGJuaWBzZnfH,a0_reference-minimal-zonesante_COD_TSHOPO_KISANGANI_KABONDO_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_TSHOPO_KISANGANI_KABONDO_1-1_20260107,reference-minimal,3,a0,1-1,COD,Tshopo,Kisangani,Kabondo,,"Reference Minimal Zonesante — Kabondo, Kisangani, Tshopo, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"cod,kabondo,kisangani,reference minimal zonesante,reference-minimal,tshopo",CC-BY-4.0,CIESIN Columbia University
1KE5K5zUN2bKQGv9t9GHT5iMOReYIpf-0,a0_reference-minimal-zonesante_COD_TSHOPO_KISANGANI_YAHISULI_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_TSHOPO_KISANGANI_YAHISULI_1-1_20260107,reference-minimal,3,a0,1-1,COD,Tshopo,Kisangani,Yahisuli,,"Reference Minimal Zonesante — Yahisuli, Kisangani, Tshopo, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"cod,kisangani,reference minimal zonesante,reference-minimal,tshopo,yahisuli",CC-BY-4.0,CIESIN Columbia University
1q-Z95K-2UvWmjDxlP0a7jiSdGH1NL6Dh,a0_reference-minimal-zonesante_COD_TSHOPO_KISANGANI_LUBUNGA_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_TSHOPO_KISANGANI_LUBUNGA_1-1_20260107,reference-minimal,3,a0,1-1,COD,Tshopo,Kisangani,Lubunga,,"Reference Minimal Zonesante — Lubunga, Kisangani, Tshopo, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"cod,kisangani,lubunga,reference minimal zonesante,reference-minimal,tshopo",CC-BY-4.0,CIESIN Columbia University
1d1nyEUgulDZNBB5xyGemM-ot0KrAa5Kd,a0_reference-minimal-zonesante_COD_SUD-UBANGI_GEMENA_MBAYA_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_SUD-UBANGI_GEMENA_MBAYA_1-1_20260107,reference-minimal,3,a0,1-1,COD,Sud-Ubangi,Gemena,Mbaya,,"Reference Minimal Zonesante — Mbaya, Gemena, Sud-Ubangi, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"cod,gemena,mbaya,reference minimal zonesante,reference-minimal,sud-ubangi",CC-BY-4.0,CIESIN Columbia University
14T6JJHJMKefYlHApFY-53S5gbxy8yBQV,a0_reference-minimal-zonesante_COD_SUD-UBANGI_GEMENA_BOTO_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_SUD-UBANGI_GEMENA_BOTO_1-1_20260107,reference-minimal,3,a0,1-1,COD,Sud-Ubangi,Gemena,Boto,,"Reference Minimal Zonesante — Boto, Gemena, Sud-Ubangi, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"boto,cod,gemena,reference minimal zonesante,reference-minimal,sud-ubangi",CC-BY-4.0,CIESIN Columbia University
1EfiiZKdxqFSv0gmSOJ7mfffWXOfNHmyQ,a0_reference-minimal-zonesante_COD_SUD-UBANGI_GEMENA_ZONGO_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_SUD-UBANGI_GEMENA_ZONGO_1-1_20260107,reference-minimal,3,a0,1-1,COD,Sud-Ubangi,Gemena,Zongo,,"Reference Minimal Zonesante — Zongo, Gemena, Sud-Ubangi, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"cod,gemena,reference minimal zonesante,reference-minimal,sud-ubangi,zongo",CC-BY-4.0,CIESIN Columbia University
1x0xGtVQIPXu_QMH7yFKNHfxn4sMU5RAJ,a0_reference-minimal-zonesante_COD_SUD-UBANGI_GEMENA_BOMINENGE_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_SUD-UBANGI_GEMENA_BOMINENGE_1-1_20260107,reference-minimal,3,a0,1-1,COD,Sud-Ubangi,Gemena,Bominenge,,"Reference Minimal Zonesante — Bominenge, Gemena, Sud-Ubangi, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"bominenge,cod,gemena,reference minimal zonesante,reference-minimal,sud-ubangi",CC-BY-4.0,CIESIN Columbia University
1VSi5_Xg23LRJusra91kKuSHaTFj3_d8V,a0_reference-minimal-zonesante_COD_SUD-UBANGI_GEMENA_TANDALA_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_SUD-UBANGI_GEMENA_TANDALA_1-1_20260107,reference-minimal,3,a0,1-1,COD,Sud-Ubangi,Gemena,Tandala,,"Reference Minimal Zonesante — Tandala, Gemena, Sud-Ubangi, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"cod,gemena,reference minimal zonesante,reference-minimal,sud-ubangi,tandala",CC-BY-4.0,CIESIN Columbia University
1JqbExm-hcEl5n7k7LCBGNJaavLrY3elV,a0_reference-minimal-zonesante_COD_SUD-KIVU_UVIRA_NUNDU_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_SUD-KIVU_UVIRA_NUNDU_1-1_20260107,reference-minimal,3,a0,1-1,COD,Sud-Kivu,Uvira,Nundu,,"Reference Minimal Zonesante — Nundu, Uvira, Sud-Kivu, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"cod,nundu,reference minimal zonesante,reference-minimal,sud-kivu,uvira",CC-BY-4.0,CIESIN Columbia University
1I3Rcxw9YAoq9h6KH9ENEuPXqdAdzEmOz,a0_reference-minimal-zonesante_COD_SUD-KIVU_UVIRA_LEMERA_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_SUD-KIVU_UVIRA_LEMERA_1-1_20260107,reference-minimal,3,a0,1-1,COD,Sud-Kivu,Uvira,Lemera,,"Reference Minimal Zonesante — Lemera, Uvira, Sud-Kivu, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"cod,lemera,reference minimal zonesante,reference-minimal,sud-kivu,uvira",CC-BY-4.0,CIESIN Columbia University
15gCOHZBWtBO8X7orsfJ7PafYcB2tPouy,a0_reference-minimal-zonesante_COD_SUD-KIVU_UVIRA_RUZIZI_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_SUD-KIVU_UVIRA_RUZIZI_1-1_20260107,reference-minimal,3,a0,1-1,COD,Sud-Kivu,Uvira,Ruzizi,,"Reference Minimal Zonesante — Ruzizi, Uvira, Sud-Kivu, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"cod,reference minimal zonesante,reference-minimal,ruzizi,sud-kivu,uvira",CC-BY-4.0,CIESIN Columbia University
1GoUdc1lJw2F-wU-5a2QS4nIquso2tNXZ,a0_reference-minimal-zonesante_COD_SUD-KIVU_UVIRA_MINEMBWE_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_SUD-KIVU_UVIRA_MINEMBWE_1-1_20260107,reference-minimal,3,a0,1-1,COD,Sud-Kivu,Uvira,Minembwe,,"Reference Minimal Zonesante — Minembwe, Uvira, Sud-Kivu, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"cod,minembwe,reference minimal zonesante,reference-minimal,sud-kivu,uvira",CC-BY-4.0,CIESIN Columbia University
1XaMkQ6O7vsV64A41CHwcPeQmF1eTbNxa,a0_reference-minimal-zonesante_COD_SUD-KIVU_UVIRA_UVIRA_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_SUD-KIVU_UVIRA_UVIRA_1-1_20260107,reference-minimal,3,a0,1-1,COD,Sud-Kivu,Uvira,Uvira,,"Reference Minimal Zonesante — Uvira, Uvira, Sud-Kivu, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"cod,reference minimal zonesante,reference-minimal,sud-kivu,uvira",CC-BY-4.0,CIESIN Columbia University
1y33WdgJOPG0OyobOADlmVFHOPl6PxquF,a0_reference-minimal-zonesante_COD_SUD-KIVU_BUKAVU_MITI-MURHESA_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_SUD-KIVU_BUKAVU_MITI-MURHESA_1-1_20260107,reference-minimal,3,a0,1-1,COD,Sud-Kivu,Bukavu,Miti-Murhesa,,"Reference Minimal Zonesante — Miti-Murhesa, Bukavu, Sud-Kivu, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"bukavu,cod,miti-murhesa,reference minimal zonesante,reference-minimal,sud-kivu",CC-BY-4.0,CIESIN Columbia University
1f6UiMJj21tLbhfmGy_2Exi3qWRjNse5a,a0_reference-minimal-zonesante_COD_SUD-KIVU_BUKAVU_KALEHE_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_SUD-KIVU_BUKAVU_KALEHE_1-1_20260107,reference-minimal,3,a0,1-1,COD,Sud-Kivu,Bukavu,Kalehe,,"Reference Minimal Zonesante — Kalehe, Bukavu, Sud-Kivu, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"bukavu,cod,kalehe,reference minimal zonesante,reference-minimal,sud-kivu",CC-BY-4.0,CIESIN Columbia University
1npc1VZqdTboLZ-I7gDeCkITdyMq1ITDF,a0_reference-minimal-zonesante_COD_SUD-KIVU_BUKAVU_NYANGEZI_1-1_20260107.jpg,a0_reference-minimal-zonesante_COD_SUD-KIVU_BUKAVU_NYANGEZI_1-1_20260107,reference-minimal,3,a0,1-1,COD,Sud-Kivu,Bukavu,Nyangezi,,"Reference Minimal Zonesante — Nyangezi, Bukavu, Sud-Kivu, COD, Congo, The Democratic Republic of the (2026)",,2026-01-07,12.2,-13.5,31.3,5.4,"bukavu,cod,nyangezi,reference minimal zonesante,reference-minimal,sud-kivu",CC-BY-4.0,CIESIN Columbia University
