pagename_airesante,province,antenne,zonesante,airesante,pagename_province,pagename_antenne,pagename_zonesante,iso3,grid3id,date,edit_par,source_acronym,sourceid,Shape_Length,Shape_Area,xmin,ymin,xmax,ymax
COD_Bas-Uele_Buta_Aketi_Aboso,Bas-Uele,Buta,Aketi,Aboso,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_9A2F80D4F0,2025,CIESIN,multiple data sources,Bas-Uele_001,1.502585484332091,0.097667524219457,22.978879759000051,2.762516553000069,23.371313287000078,3.210704773000032
COD_Bas-Uele_Buta_Aketi_Ahaupa,Bas-Uele,Buta,Aketi,Ahaupa,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_3ABC71C113,2025,CIESIN,multiple data sources,Bas-Uele_001,2.622432315052173,0.196135314561688,23.657733400000041,2.075781061000043,24.362611781000055,2.741305200000056
COD_Bas-Uele_Buta_Aketi_Andea,Bas-Uele,Buta,Aketi,Andea,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_6B8001BB98,2025,CIESIN,multiple data sources,Bas-Uele_001,1.373752352987643,0.047079486352121,23.382869500000027,2.427921195000067,23.736944500000050,2.677609400000051
COD_Bas-Uele_Buta_Aketi_Azande,Bas-Uele,Buta,Aketi,Azande,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_FF6EDCB3D2,2025,CIESIN,multiple data sources,Bas-Uele_001,0.166753821691744,0.000862690535676,23.781111400000043,2.727493900000070,23.829766300000074,2.782587364000051
COD_Bas-Uele_Buta_Aketi_Bobema,Bas-Uele,Buta,Aketi,Bobema,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_D4F7542BA2,2025,CIESIN,multiple data sources,Bas-Uele_001,0.579411010161615,0.014391019736649,23.017769645000044,2.745273500000053,23.221245740000029,2.870689593000066
COD_Bas-Uele_Buta_Aketi_Boganga,Bas-Uele,Buta,Aketi,Boganga,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_36B5E2F33F,2025,CIESIN,multiple data sources,Bas-Uele_001,1.330328654175834,0.058776108926081,23.264966000000072,2.576687800000059,23.629685700000039,2.914079693000076
COD_Bas-Uele_Buta_Aketi_Bombongolo,Bas-Uele,Buta,Aketi,Bombongolo,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_FD02F02132,2025,CIESIN,multiple data sources,Bas-Uele_001,1.332834210456366,0.075717353625173,23.205372938000039,2.817682283000067,23.562693251000042,3.220046288000049
COD_Bas-Uele_Buta_Aketi_Bondunga,Bas-Uele,Buta,Aketi,Bondunga,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_08E2266857,2025,CIESIN,multiple data sources,Bas-Uele_001,1.509930671296829,0.073955304199528,23.485559337000041,2.648188700000048,23.768057904000045,3.107832328000029
COD_Bas-Uele_Buta_Aketi_Bonzengo,Bas-Uele,Buta,Aketi,Bonzengo,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_31303CA786,2025,CIESIN,multiple data sources,Bas-Uele_001,1.022901339642323,0.039763546877801,23.172419100000070,2.523097880000023,23.417755400000033,2.795425800000032
COD_Bas-Uele_Buta_Aketi_Bunduki,Bas-Uele,Buta,Aketi,Bunduki,COD_Bas-Uele,COD_Bas-Uele_Buta,COD_Bas-Uele_Buta_Aketi,COD,BU_35EEA92E42,2025,CIESIN,multiple data sources,Bas-Uele_001,0.796111117642975,0.016528767128118,23.086106304000054,2.455561275000036,23.337549989000024,2.642368707000060
