drive_file_id,filename,theme,admin0,area,title,description,date,bbox_west,bbox_south,bbox_east,bbox_north,keywords,license,source_attribution
1aUeY5ocTny6cat7mjf6hdXuULh-SGKKQ,a2_microplanification_RDC_KASAI-CENTRAL_KANANGA_MUTOTO_TSHINANGA_1_20250428.jpg,microplanification,COD,Kasai-Central,"Microplanification — Tshinanga, Mutoto, Kananga, Kasai-Central, COD (2025)","Microplanification map covering Tshinanga, Mutoto, Kananga, Kasai-Central, COD dated 2025-04-28 (page 1).",2025-04-28,12.2,-13.5,31.3,5.4,"kananga,kasai-central,microplanification,mutoto,rdc,tshinanga",CC-BY-4.0,CIESIN Columbia University
1nX_RXd6U1TAJQQ0fS1PnP_ZXLAXW1EGi,a2_microplanification_RDC_KASAI-CENTRAL_KANANGA_MUTOTO_DIPUMU_1_20250428.jpg,microplanification,COD,Kasai-Central,"Microplanification — Dipumu, Mutoto, Kananga, Kasai-Central, COD (2025)","Microplanification map covering Dipumu, Mutoto, Kananga, Kasai-Central, COD dated 2025-04-28 (page 1).",2025-04-28,12.2,-13.5,31.3,5.4,"dipumu,kananga,kasai-central,microplanification,mutoto,rdc",CC-BY-4.0,CIESIN Columbia University
1xZPGUsr246VPnI-SJJj9SIOCJMiNAk4b,a2_microplanification_RDC_KASAI-CENTRAL_KANANGA_MUTOTO_TSHINYAMA_1_20250428.jpg,microplanification,COD,Kasai-Central,"Microplanification — Tshinyama, Mutoto, Kananga, Kasai-Central, COD (2025)","Microplanification map covering Tshinyama, Mutoto, Kananga, Kasai-Central, COD dated 2025-04-28 (page 1).",2025-04-28,12.2,-13.5,31.3,5.4,"kananga,kasai-central,microplanification,mutoto,rdc,tshinyama",CC-BY-4.0,CIESIN Columbia University
1sPu69K1DcM8RQrrYSRYrXyFYzG7eu_rt,a2_microplanification_RDC_KASAI-CENTRAL_KANANGA_MUTOTO_LUBUYI_1_20250428.jpg,microplanification,COD,Kasai-Central,"Microplanification — Lubuyi, Mutoto, Kananga, Kasai-Central, COD (2025)","Microplanification map covering Lubuyi, Mutoto, Kananga, Kasai-Central, COD dated 2025-04-28 (page 1).",2025-04-28,12.2,-13.5,31.3,5.4,"kananga,kasai-central,lubuyi,microplanification,mutoto,rdc",CC-BY-4.0,CIESIN Columbia University
1QF30N6OWAhZhzNYUjh_CMYzJiAEgII3w,a2_microplanification_RDC_KASAI-CENTRAL_KANANGA_MUTOTO_TSHIBATA_1_20250428.jpg,microplanification,COD,Kasai-Central,"Microplanification — Tshibata, Mutoto, Kananga, Kasai-Central, COD (2025)","Microplanification map covering Tshibata, Mutoto, Kananga, Kasai-Central, COD dated 2025-04-28 (page 1).",2025-04-28,12.2,-13.5,31.3,5.4,"kananga,kasai-central,microplanification,mutoto,rdc,tshibata",CC-BY-4.0,CIESIN Columbia University
1cVlaKIo0_6Bgcq_7RhqG3T9gPmm-SBPL,a2_microplanification_RDC_KASAI-CENTRAL_KANANGA_MUTOTO_BIKUKU-KALEYA_1_20250428.jpg,microplanification,COD,Kasai-Central,"Microplanification — Bikuku-Kaleya, Mutoto, Kananga, Kasai-Central, COD (2025)","Microplanification map covering Bikuku-Kaleya, Mutoto, Kananga, Kasai-Central, COD dated 2025-04-28 (page 1).",2025-04-28,12.2,-13.5,31.3,5.4,"bikuku-kaleya,kananga,kasai-central,microplanification,mutoto,rdc",CC-BY-4.0,CIESIN Columbia University
1M1TqNMjfPFLgxKgHyJW5ebTjQy3bV6ff,a2_microplanification_RDC_KASAI-CENTRAL_KANANGA_MUTOTO_NKOTO_1_20250428.jpg,microplanification,COD,Kasai-Central,"Microplanification — Nkoto, Mutoto, Kananga, Kasai-Central, COD (2025)","Microplanification map covering Nkoto, Mutoto, Kananga, Kasai-Central, COD dated 2025-04-28 (page 1).",2025-04-28,12.2,-13.5,31.3,5.4,"kananga,kasai-central,microplanification,mutoto,nkoto,rdc",CC-BY-4.0,CIESIN Columbia University
1DQV-jSEodorqySj-ENHZHh0aE6AI_2sm,a2_microplanification_RDC_KASAI-CENTRAL_KANANGA_MUTOTO_LUYAMBA_1_20250428.jpg,microplanification,COD,Kasai-Central,"Microplanification — Luyamba, Mutoto, Kananga, Kasai-Central, COD (2025)","Microplanification map covering Luyamba, Mutoto, Kananga, Kasai-Central, COD dated 2025-04-28 (page 1).",2025-04-28,12.2,-13.5,31.3,5.4,"kananga,kasai-central,luyamba,microplanification,mutoto,rdc",CC-BY-4.0,CIESIN Columbia University
13L5vF-9RPkFaWbVHsTzKUG0_BHo5h5eP,a2_microplanification_RDC_KASAI-CENTRAL_KANANGA_MUTOTO_DISAYA_1_20250428.jpg,microplanification,COD,Kasai-Central,"Microplanification — Disaya, Mutoto, Kananga, Kasai-Central, COD (2025)","Microplanification map covering Disaya, Mutoto, Kananga, Kasai-Central, COD dated 2025-04-28 (page 1).",2025-04-28,12.2,-13.5,31.3,5.4,"disaya,kananga,kasai-central,microplanification,mutoto,rdc",CC-BY-4.0,CIESIN Columbia University
1T_uFE8Wov6eGGTGWb-lKVDBduLZnOObv,a2_microplanification_RDC_KASAI-CENTRAL_KANANGA_MUTOTO_DILEMBUE-2_1_20250428.jpg,microplanification,COD,Kasai-Central,"Microplanification — Dilembue-2, Mutoto, Kananga, Kasai-Central, COD (2025)","Microplanification map covering Dilembue-2, Mutoto, Kananga, Kasai-Central, COD dated 2025-04-28 (page 1).",2025-04-28,12.2,-13.5,31.3,5.4,"dilembue-2,kananga,kasai-central,microplanification,mutoto,rdc",CC-BY-4.0,CIESIN Columbia University
